,Season,Player Name,Position,In Top 10
0,2015,Jameis Winston,QB,False
1,2015,Marcus Mariota,QB,False
2,2015,Garrett Grayson,QB,False
3,2015,Sean Mannion,QB,False
4,2015,Bryce Petty,QB,False
5,2016,Jared Goff,QB,False
6,2016,Carson Wentz,QB,False
7,2016,Paxton Lynch,QB,False
8,2016,Christian Hackenberg,QB,False
9,2016,Jacoby Brissett,QB,False
10,2017,Mitchell Trubisky,QB,False
11,2017,Patrick Mahomes,QB,False
12,2017,Deshaun Watson,QB,False
13,2017,DeShone Kizer,QB,False
14,2017,Davis Webb,QB,False
15,2018,Baker Mayfield,QB,False
16,2018,Sam Darnold,QB,False
17,2018,Josh Allen,QB,False
18,2018,Josh Rosen,QB,False
19,2018,Lamar Jackson,QB,False
20,2019,Kyler Murray,QB,True
21,2019,Daniel Jones,QB,False
22,2019,Dwayne Haskins,QB,False
23,2019,Drew Lock,QB,False
24,2019,Will Grier,QB,False
