Season,Player Name,Position,In Top 24
2015,Todd Gurley,RB,True
2015,Melvin Gordon,RB,False
2015,T.J. Yeldon,RB,False
2015,Ameer Abdullah,RB,False
2015,Tevin Coleman,RB,False
2016,Ezekiel Elliott,RB,True
2016,Derrick Henry,RB,False
2016,Kenyan Drake,RB,False
2016,C.J. Prosise,RB,False
2016,Tyler Ervin,RB,False
2017,Leonard Fournette,RB,True
2017,Christian McCaffrey,RB,False
2017,Dalvin Cook,RB,False
2017,Joe Mixon,RB,False
2017,Alvin Kamara,RB,True
2018,Saquon Barkley,RB,True
2018,Rashaad Penny,RB,False
2018,Sony Michel,RB,False
2018,Nick Chubb,RB,False
2018,Ronald Jones,RB,False
2019,Josh Jacobs,RB,False
2019,Miles Sanders,RB,False
2019,Darrell Henderson,RB,False
2019,David Montgomery,RB,False
2019,Devin Singletary,RB,False
