Season,Player Name,Position,In Top 12
2015,Maxx Williams,TE,False
2015,Clive Walford,TE,False
2015,Tyler Kroft,TE,False
2015,Jeff Heuerman,TE,False
2015,Blake Bell,TE,False
2016,Hunter Henry,TE,False
2016,Austin Hooper,TE,False
2016,Nick Vannett,TE,False
2016,Tyler Higbee,TE,False
2016,Seth Devalve,TE,False
2017,O.J. Howard,TE,False
2017,Evan Engram,TE,True
2017,David Njoku,TE,False
2017,Gerald Everett,TE,False
2017,Adam Shaheen,TE,False
2018,Hayden Hurst,TE,False
2018,Mike Gesicki,TE,False
2018,Dallas Goedert,TE,False
2018,Mark Andrews,TE,False
2018,Jordan Akins,TE,False
2019,T.J. Hockenson,TE,False
2019,Noah Fant,TE,False
2019,Irv Smith Jr.,TE,False
2019,Drew Sample,TE,False
2019,Josh Oliver,TE,False
